s_rel,g_gap,lambda_pairwise,lambda_with_hyperedge,lambda_gain,hyperedge_active
-1.0,0.0,0.4,0.4,0.0,1
-0.9748953974895398,0.0,0.4,0.4,0.0,1
-0.9497907949790795,0.0,0.4,0.4,0.0,1
-0.9246861924686193,0.0,0.4,0.4,0.0,1
-0.899581589958159,0.0,0.4,0.4,0.0,1
-0.8744769874476988,0.0,0.4,0.4,0.0,1
-0.8493723849372385,0.0,0.4,0.4,0.0,1
-0.8242677824267782,0.0,0.4,0.4,0.0,1
-0.799163179916318,0.0,0.4,0.4,0.0,1
-0.7740585774058577,0.0,0.4,0.4,0.0,1
-0.7489539748953975,0.0,0.4,0.4,0.0,1
-0.7238493723849373,0.0,0.4,0.4,0.0,1
-0.698744769874477,0.0,0.4,0.4,0.0,1
-0.6736401673640167,0.0,0.4,0.4,0.0,1
-0.6485355648535565,0.0,0.4,0.4,0.0,1
-0.6234309623430963,0.0,0.4,0.4,0.0,1
-0.598326359832636,0.0,0.4,0.4,0.0,1
-0.5732217573221757,0.0,0.4,0.4,0.0,1
-0.5481171548117154,0.0,0.4,0.4,0.0,1
-0.5230125523012552,0.0,0.4,0.4,0.0,1
-0.497907949790795,0.0,0.4,0.4,0.0,1
-0.4728033472803347,0.0,0.4,0.4,0.0,1
-0.4476987447698745,0.0,0.4,0.4,0.0,1
-0.4225941422594143,0.0,0.4,0.4,0.0,1
-0.39748953974895396,0.0,0.4,0.4,0.0,1
-0.37238493723849375,0.0,0.4,0.4,0.0,1
-0.34728033472803344,0.0,0.4,0.4,0.0,1
-0.32217573221757323,0.0,0.4,0.4,0.0,1
-0.297071129707113,0.0,0.4,0.4,0.0,1
-0.2719665271966527,0.0,0.4,0.4,0.0,1
-0.2468619246861925,0.0,0.4,0.4,0.0,1
-0.22175732217573219,0.0,0.4,0.4,0.0,1
-0.19665271966527198,0.0,0.4,0.4,0.0,1
-0.17154811715481177,0.0,0.4,0.4,0.0,1
-0.14644351464435146,0.0,0.4,0.4,0.0,1
-0.12133891213389125,0.0,0.4,0.4,0.0,1
-0.09623430962343094,0.0,0.4,0.4,0.0,1
-0.07112970711297073,0.0,0.4,0.4,0.0,1
-0.046025104602510525,0.0,0.4,0.4,0.0,1
-0.02092050209205021,0.0,0.4,0.4,0.0,1
0.004184100418409997,0.0,1.037461116187217,1.6649619024340085,0.6275007862467916,1
0.029288702928870203,0.0,1.0224379275396638,1.6351502624615202,0.6127123349218564,1
0.05439330543933063,0.0,1.0077687937378237,1.6060412000734938,0.5982724063356701,1
0.07949790794979084,0.0,0.9934453706919893,1.5776181574669164,0.584172786774927,1
0.10460251046025104,0.0,0.9794595109594806,1.5498649670602194,0.5704054561007387,1
0.12970711297071125,0.0,0.9658032591102201,1.522765842296843,0.556962583186623,1
0.15481171548117145,0.0,0.9524688472015307,1.4963053686655374,0.5438365214640067,1
0.17991631799163188,0.0,0.9394486903595762,1.470468494932284,0.5310198045727078,1
0.20502092050209209,0.0,0.9267353824649386,1.4452405245788624,0.5185051421139238,1
0.2301255230125523,0.0,0.9143216919398716,1.4206071074431825,0.506285415503311,1
0.2552301255230125,0.0,0.9022005576348386,1.3965542315566328,0.4943536739217942,1
0.2803347280334727,0.0,0.890365084811993,1.3730682151737985,0.4827031303618055,1
0.30543933054393313,0.0,0.8788085412233163,1.3501356989900182,0.47132715776670187,1
0.33054393305439334,0.0,0.8675243532811844,1.3277436385423502,0.46021928526116584,1
0.35564853556485354,0.0,0.8565061023191826,1.3058792967896278,0.44937319447044527,1
0.38075313807531375,0.0,0.8457475209410422,1.2845302368673805,0.43878271592633844,1
0.40585774058577395,0.0,0.8352424894556241,1.263684315013504,0.4284418255578799,1
0.4309623430962344,0.0,0.8249850323959181,1.24332967366065,0.4183446412647319,1
0.4560669456066946,0.0,0.8149693151200815,1.2234547346914117,0.40848541957133017,1
0.4811715481171548,0.0,0.8051896404925799,1.2040481928524631,0.3988585523598833,1
0.506276150627615,0.0,0.7956404456435461,1.1850990093239118,0.38945856368036563,1
0.5313807531380752,0.0,0.7863162988045106,1.1665964054402007,0.3802801066356901,1
0.5564853556485356,0.0,0.777211896218706,1.1485298565589948,0.37131796034028874,1
0.5815899581589958,0.0,0.7683220591241865,1.1308890860745575,0.3625670269503711,1
0.606694560669456,0.0,0.7596417308080469,1.1136640595722178,0.35402232876417106,1
0.6317991631799162,0.0,0.7511659737300652,1.096844979120598,0.3456790053905329,1
0.6569037656903765,0.0,0.7428899667141343,1.0804222776983603,0.33753231098422604,1
0.6820083682008369,0.0,0.7348090022058821,1.0643866137522973,0.3295776115464152,1
0.7071129707112971,0.0,0.726918483594923,1.048728865883675,0.32181038228875225,1
0.7322175732217573,0.0,0.7192139226002158,1.033440127659803,0.3142262050595873,1
0.7573221757322175,0.0,0.7116909367170421,1.0185117025478805,0.3068207658308383,1
0.7824267782426777,0.0,0.7043452467241524,1.00393509896824,0.2995898522440875,1
0.8075313807531381,0.0,0.6971726742496608,0.9897020254641706,0.29252935121450985,1
0.8326359832635983,0.0,0.690169139394306,0.9758043859855761,0.28563524659127,1
0.8577405857740585,0.0,0.6833306584107247,0.9622342752837818,0.27890361687305704,1
0.8828451882845187,0.0,0.6766533414374182,0.9489839744148767,0.2723306329774585,1
0.907949790794979,0.0,0.6701333902861237,0.9360459463490267,0.265912556062903,1
0.9330543933054394,0.0,0.6637670962813302,0.9234128316832646,0.2596457354019344,1
0.9581589958158996,0.0,0.657550838150712,0.9110774444553191,0.2535266063046071,1
0.9832635983263598,0.0,0.6514810799652774,0.8990327680560973,0.24755168809081995,1
1.00836820083682,0.0,0.6455543691280642,0.8872719512385023,0.2417175821104382,1
1.0334728033472804,0.0,0.6397673344102346,0.8757883042203092,0.23602096981007464,1
1.0585774058577404,0.0,0.6341166840334546,0.8645752948788864,0.23045861084543182,1
1.0836820083682008,0.0,0.6285992037974658,0.8536265450355963,0.22502734123813048,1
1.1087866108786613,0.0,0.6232117552517867,0.8429358268277642,0.21972407157597754,1
1.1338912133891212,0.0,0.6179512739104994,0.8324970591661472,0.21454578525564783,1
1.1589958158995817,0.0,0.6128147675091107,0.8223043042758915,0.20948953676678078,1
1.1841004184100417,0.0,0.6077993143024941,0.8123517643190118,0.20455245001651765,1
1.209205020920502,0.0,0.6029020614029436,0.8026337780964661,0.19973171669352255,1
1.2343096234309625,0.0,0.5981202231573953,0.7931448178279563,0.195024594670561,1
1.2594142259414225,0.0,0.5934510795628946,0.7838794860076188,0.19042840644472428,1
1.284518828451883,0.0,0.5888919747194037,0.7748325123338167,0.18594053761441298,1
1.309623430962343,0.0,0.5844403153190756,0.7659987507112906,0.18155843539221503,1
1.3347280334728033,0.0,0.5800935691711288,0.7573731763239586,0.17727960715282984,1
1.3598326359832638,0.0,0.5758492637614879,0.7489508827767026,0.17310161901521465,1
1.3849372384937237,0.0,0.5717049848463701,0.7407270793045156,0.1690220944581455,1
1.4100418410041842,0.0,0.5676583750790148,0.7326970880474202,0.16503871296840528,1
1.4351464435146442,0.0,0.5637071326687805,0.7248563413896113,0.1611492087208308,1
1.4602510460251046,0.0,0.5598490100718395,0.7172003793613065,0.157351369289467,1
1.485355648535565,0.0,0.5560818127127325,0.7097248471018285,0.15364303438909602,1
1.510460251046025,0.0,0.5524033977360506,0.7024254923824753,0.15002209464642474,1
1.5355648535564854,0.0,0.5488116727875372,0.695298163187769,0.14648649040023187,1
1.5606694560669454,0.0,0.5453045948239167,0.6883388053537096,0.14303421052979295,1
1.5857740585774058,0.0,0.5418801689507707,0.6815434602616857,0.1396632913109149,1
1.6108786610878663,0.0,0.5385364472878039,0.6749082625867359,0.13637181529893197,1
1.6359832635983262,0.0,0.5352715278608514,0.668429438098877,0.1331579102380256,1
1.6610878661087867,0.0,0.5320835535199985,0.662103301516247,0.13001974799624844,1
1.6861924686192467,0.0,0.5289707108831977,0.6559262544088454,0.12695554352564775,1
1.711297071129707,0.0,0.5259312293047821,0.6498947831516769,0.12396355384689482,1
1.7364016736401675,0.0,0.5229633798682866,0.6440054569261311,0.12104207705784455,1
1.7615062761506275,0.0,0.5200654744030072,0.6382549257684673,0.11818945136546016,1
1.786610878661088,0.0,0.5172358645237364,0.6326399186642893,0.11540405414055294,1
1.811715481171548,0.0,0.5144729406931292,0.6271572416879283,0.11268430099479904,1
1.8368200836820083,0.0,0.5117751313061674,0.6218037761856758,0.11002864487950843,1
1.8619246861924688,0.0,0.5091409017961992,0.6165764770018327,0.10743557520563354,1
1.8870292887029287,0.0,0.5065687537620486,0.6114723707465651,0.10490361698451656,1
1.9121338912133892,0.0,0.5040572241156949,0.606488554104582,0.10243132998888714,1
1.9372384937238492,0.0,0.5016048842500399,0.601622192183673,0.10001730793363306,1
1.9623430962343096,0.0,0.49921033922628844,0.5968705169021661,0.09766017767587766,1
1.98744769874477,0.0,0.4968722269804796,0.5922308254143892,0.0953585984339096,1
2.01255230125523,0.0,0.49458921754871865,0.5877004785732385,0.09311126102451985,1
2.0376569037656904,0.0,0.49236001231066684,0.5832768994289794,0.09091688711831264,1
2.0627615062761504,0.0,0.4901833432508619,0.578957571763429,0.08877422851256708,1
2.087866108786611,0.0,0.48805797223744485,0.5747400386586796,0.08668206642123472,1
2.1129707112970713,0.0,0.48598269031788754,0.570621901099558,0.0846392107816705,1
2.1380753138075312,0.0,0.48395631703131614,0.566600816609018,0.08264449957770179,1
2.1631799163179917,0.0,0.4819776997370421,0.5626744979156928,0.08069679817865073,1
2.1882845188284517,0.0,0.48004571295891774,0.5588407116528524,0.07879499869393465,1
2.213389121338912,0.0,0.47815925774514356,0.5550972770880191,0.07693801934287563,1
2.2384937238493725,0.0,0.4763172610431624,0.5514420648825253,0.07512480383936299,1
2.2635983263598325,0.0,0.47451867508928713,0.5478729958803041,0.07335432079101702,1
2.288702928870293,0.0,0.47276247681271133,0.544388039925224,0.07162556311251268,1
2.313807531380753,0.0,0.47104766725356706,0.5409852147062971,0.06993754745273008,1
2.3389121338912133,0.0,0.46937327099469717,0.5376625846301022,0.06828931363540497,1
2.3640167364016738,0.0,0.46773833560681843,0.5344182597197802,0.06667992411296181,1
2.3891213389121337,0.0,0.4661419311067616,0.53125039453998,0.06510846343321841,1
2.414225941422594,0.0,0.4645831494284788,0.5281571871471376,0.06357403771865874,1
2.439330543933054,0.0,0.46306110390651756,0.5251368780644957,0.062075774157978186,1
2.4644351464435146,0.0,0.4615749287716684,0.5221877492812795,0.0606128205096111,1
2.489539748953975,0.0,0.46012377865849863,0.5193081232754582,0.05918434461695956,1
2.514644351464435,0.0,0.4587068281244914,0.5164963620595375,0.05778953393504615,1
2.5397489539748954,0.0,0.4573232711805182,0.5137508662488407,0.05642759506832254,1
2.5648535564853554,0.0,0.4559723208323767,0.5110700741517475,0.05509775331937078,1
2.589958158995816,0.0,0.45465320863313285,0.508452460881373,0.05379925224824009,1
2.6150627615062763,0.0,0.45336518424601313,0.5058965374881823,0.05253135324216917,1
2.6401673640167362,0.0,0.4521075150175988,0.5034008501130477,0.05129333509544885,1
2.6652719665271967,0.0,0.45087948556107793,0.500963979160264,0.050084493599186077,1
2.6903765690376567,0.0,0.4496803973493194,0.4985845384900557,0.04890414114073627,1
2.715481171548117,0.0,0.4485095683175373,0.49626117463011304,0.04775160631257574,1
2.7405857740585775,0.0,0.4473663324753189,0.4939925660057109,0.046626233530392046,1
2.7656903765690375,0.0,0.44625003952779674,0.4917774221879716,0.04552738266017484,1
2.790794979079498,0.0,0.44516005450574736,0.4896144831598424,0.04445442865409506,1
2.815899581589958,0.0,0.44409575740440954,0.4875025185993752,0.04340676119496565,1
2.8410041841004183,0.0,0.4430565428308125,0.4854403271798936,0.04238378434908107,1
2.8661087866108788,0.0,0.44204181965941713,0.48342673588665586,0.0413849162272387,1
2.8912133891213387,0.0,0.44105101069587194,0.4814605993496208,0.040409588653748885,1
2.916317991631799,0.0,0.4400835523486938,0.47954079919193915,0.03945724684324539,1
2.941422594142259,0.0,0.43913889430868613,0.477666243393799,0.03852734908511287,1
2.9665271966527196,0.0,0.4382164992359122,0.4758358656712633,0.037619366435351055,1
2.99163179916318,0.0,0.43731584245404576,0.47404862486974697,0.03673278241570124,1
3.01673640167364,0.0,0.4364364116519247,0.47230350437178803,0.035867092719863346,1
3.0418410041841,0.0,0.4355777065921388,0.4705995115187753,0.03502180492663654,1
3.066945606694561,0.0,0.43473923882648435,0.4689356770463049,0.034196438219820546,1
3.092050209205021,0.0,0.43392053141812637,0.46731105453284444,0.033390523114718074,1
3.117154811715481,0.0,0.4331211186703061,0.4657247198613887,0.032603601191082555,1
3.1422594142259417,0.0,0.432340545861445,0.46417577069380483,0.03183522483235986,1
3.1673640167364017,0.0,0.43157836898648927,0.46266332595756465,0.031084956971075363,1
3.1924686192468616,0.0,0.4308341545043518,0.46118652534457305,0.030352370840221254,1
3.2175732217573225,0.0,0.43010747909130487,0.45974452882180805,0.029637049730503184,1
3.2426778242677825,0.0,0.42939792940018595,0.458336516153494,0.028938586753308043,1
3.2677824267782425,0.0,0.42870510182527755,0.45696168643453505,0.028256584609257507,1
3.2928870292887025,0.0,0.428028602272728,0.4556192576349446,0.027590655362216582,1
3.3179916317991633,0.0,0.4273680459363839,0.45430846615501175,0.02694042021862787,1
3.3430962343096233,0.0,0.42672305707890434,0.45302856639095085,0.026305509312046494,1
3.3682008368200833,0.0,0.42609326881803455,0.45177883031078725,0.025685561492752713,1
3.393305439330544,0.0,0.42547832291791543,0.4505585470402384,0.02508022412232299,1
3.418410041841004,0.0,0.42487786958531293,0.44936702245835536,0.024489152873042413,1
3.443514644351464,0.0,0.4242915672706481,0.44820357880269235,0.023912011532044235,1
3.468619246861925,0.0,0.42371908247371737,0.4470675542837829,0.023348471810065535,1
3.493723849372385,0.0,0.423160089553991,0.44595830270870085,0.02279821315470988,1
3.518828451882845,0.0,0.42261427054538236,0.44487519311349316,0.022260922568110797,1
3.543933054393305,0.0,0.4220813149753829,0.44381760940427545,0.021736294428892525,1
3.569037656903766,0.0,0.42156091968845877,0.44278495000678536,0.021224030318326575,1
3.594142259414226,0.0,0.4210527886736106,0.44177662752419605,0.02072383885058541,1
3.619246861924686,0.0,0.4205566328959963,0.4407920684029927,0.020235435506996375,1
3.6443514644351467,0.0,0.42007217013252274,0.43983071260672474,0.019758542474201994,1
3.6694560669456067,0.0,0.4195991248113111,0.4388920132974455,0.019292888486134346,1
3.6945606694560666,0.0,0.4191372278549471,0.43797543652466064,0.018838208669713547,1
3.7196652719665275,0.0,0.41868621652742377,0.4370804609216066,0.018394244394182788,1
3.7447698744769875,0.0,0.41824583428469253,0.43620657740868674,0.017960743123994184,1
3.7698744769874475,0.0,0.4178158306287355,0.435353288903897,0.01753745827516152,1
3.7949790794979075,0.0,0.4173959609650779,0.43452011004007646,0.017124149074998526,1
3.8200836820083683,0.0,0.41698598646365737,0.43370656688882003,0.016720580425162668,1
3.8451882845188283,0.0,0.4165856739229731,0.4329121966908997,0.01632652276792663,1
3.8702928870292883,0.0,0.41619479563743633,0.4321365475930377,0.015941751955601356,1
3.895397489539749,0.0,0.41581312926784664,0.43137917839088313,0.015566049123036479,1
3.920502092050209,0.0,0.41544045771492133,0.43063965827804696,0.01519920056312561,1
3.945606694560669,0.0,0.4150765689958049,0.4299175666010504,0.014840997605245472,1
3.97071129707113,0.0,0.41472125612348953,0.42921249262004957,0.014491236496560039,1
3.99581589958159,0.0,0.41437431698907623,0.42852403527519817,0.014149718286121944,1
4.02092050209205,0.0,0.4140355542468117,0.42785180295851694,0.013816248711705252,1
4.04602510460251,0.0,0.413704775201834,0.42719541329113936,0.013490638089305342,1
4.071129707112971,0.0,0.4133817917005643,0.42655449290580727,0.013172701205242937,1
4.096234309623431,0.0,0.413066420023681,0.42592867723449196,0.012862257210810978,1
4.121338912133891,0.0,0.41275848078161703,0.42531761030102133,0.01255912951940428,1
4.146443514644352,0.0,0.4124577988125193,0.424720944518593,0.012263145706073685,1
4.171548117154812,0.0,0.41216420308261326,0.4241383404920606,0.011974137409447371,1
4.196652719665272,0.0,0.4118775265889154,0.423569466824879,0.011691940235963587,1
4.2217573221757325,0.0,0.41159760626423914,0.4230139999305995,0.0114163936663604,1
4.2468619246861925,0.0,0.4113242828844387,0.42247162384880793,0.011147340964369258,1
4.2719665271966525,0.0,0.41105740097783894,0.42194203006539915,0.010884629087560235,1
4.2970711297071125,0.0,0.41079680873680113,0.42142491733708975,0.010628108600288611,1
4.322175732217573,0.0,0.4105423579313705,0.4209199915200634,0.010377633588692871,1
4.347280334728033,0.0,0.4102939038249612,0.4204269654026574,0.010133061577696154,1
4.372384937238493,0.0,0.4100513050920265,0.41994555854199006,0.009894253449963562,1
4.397489539748954,0.0,0.40981442373767063,0.41947549710444015,0.009661073366769501,1
4.422594142259414,0.0,0.4095831250191544,0.41901651370988446,0.00943338869073006,1
4.447698744769874,0.0,0.40935727736925076,0.4185683472796069,0.009211069910356149,1
4.472803347280335,0.0,0.4091367523214069,0.41813074288779184,0.008993990566384929,1
4.497907949790795,0.0,0.40892142443667023,0.4177034516165175,0.008782027179847274,1
4.523012552301255,0.0,0.4087111712323358,0.41728623041416635,0.008575059181830531,1
4.548117154811715,0.0,0.40850587311227593,0.4168788419571725,0.008372968844896574,1
4.573221757322176,0.0,0.4083054132989117,0.4164810545150278,0.008175641216116109,1
4.598326359832636,0.0,0.4081096777667873,0.41609264181846856,0.007982964051681269,1
4.623430962343096,0.0,0.4079185551777108,0.41571338293076987,0.00779482775305906,1
4.648535564853557,0.0,0.4077319368174219,0.41534306212207156,0.007611125304649638,1
4.673640167364017,0.0,0.4075497165337537,0.41498146874666747,0.007431752212913745,1
4.698744769874477,0.0,0.4073717906762512,0.4146283971231859,0.007256606446934686,1
4.7238493723849375,0.0,0.40719805803721265,0.41428364641759385,0.007085588380381221,1
4.7489539748953975,0.0,0.4070284197941213,0.41394702052895943,0.006918600734838122,1
4.7740585774058575,0.0,0.4068627794534322,0.4136183279779045,0.006755548524472323,1
4.7991631799163175,0.0,0.40670104279568575,0.4132973817976889,0.006596339002003132,1
4.824267782426778,0.0,0.4065431178219131,0.41298399942785885,0.006440881605945729,1
4.849372384937238,0.0,0.406388914701306,0.4126780026104041,0.006289087909098096,1
4.874476987447698,0.0,0.40623834572011874,0.4123792172883606,0.006140871568241819,1
4.899581589958159,0.0,0.40609132523177494,0.41208747350680336,0.005996148275028435,1
4.924686192468619,0.0,0.4059477696081506,0.4118026053161738,0.005854835708023174,1
4.949790794979079,0.0,0.405807597192004,0.4115244506778829,0.005716853485878928,1
4.97489539748954,0.0,0.4056707282505283,0.41125285137214207,0.005582123121613763,1
5.0,0.0,0.4055370849299972,0.4109876529079632,0.005450567977966,1
-1.0,0.0111731843575419,0.4,0.4,0.0,1
-0.9748953974895398,0.0111731843575419,0.4,0.4,0.0,1
-0.9497907949790795,0.0111731843575419,0.4,0.4,0.0,1
-0.9246861924686193,0.0111731843575419,0.4,0.4,0.0,1
-0.899581589958159,0.0111731843575419,0.4,0.4,0.0,1
-0.8744769874476988,0.0111731843575419,0.4,0.4,0.0,1
-0.8493723849372385,0.0111731843575419,0.4,0.4,0.0,1
-0.8242677824267782,0.0111731843575419,0.4,0.4,0.0,1
-0.799163179916318,0.0111731843575419,0.4,0.4,0.0,1
-0.7740585774058577,0.0111731843575419,0.4,0.4,0.0,1
-0.7489539748953975,0.0111731843575419,0.4,0.4,0.0,1
-0.7238493723849373,0.0111731843575419,0.4,0.4,0.0,1
-0.698744769874477,0.0111731843575419,0.4,0.4,0.0,1
-0.6736401673640167,0.0111731843575419,0.4,0.4,0.0,1
-0.6485355648535565,0.0111731843575419,0.4,0.4,0.0,1
-0.6234309623430963,0.0111731843575419,0.4,0.4,0.0,1
-0.598326359832636,0.0111731843575419,0.4,0.4,0.0,1
-0.5732217573221757,0.0111731843575419,0.4,0.4,0.0,1
-0.5481171548117154,0.0111731843575419,0.4,0.4,0.0,1
-0.5230125523012552,0.0111731843575419,0.4,0.4,0.0,1
-0.497907949790795,0.0111731843575419,0.4,0.4,0.0,1
-0.4728033472803347,0.0111731843575419,0.4,0.4,0.0,1
-0.4476987447698745,0.0111731843575419,0.4,0.4,0.0,1
-0.4225941422594143,0.0111731843575419,0.4,0.4,0.0,1
-0.39748953974895396,0.0111731843575419,0.4,0.4,0.0,1
-0.37238493723849375,0.0111731843575419,0.4,0.4,0.0,1
-0.34728033472803344,0.0111731843575419,0.4,0.4,0.0,1
-0.32217573221757323,0.0111731843575419,0.4,0.4,0.0,1
-0.297071129707113,0.0111731843575419,0.4,0.4,0.0,1
-0.2719665271966527,0.0111731843575419,0.4,0.4,0.0,1
-0.2468619246861925,0.0111731843575419,0.4,0.4,0.0,1
-0.22175732217573219,0.0111731843575419,0.4,0.4,0.0,1
-0.19665271966527198,0.0111731843575419,0.4,0.4,0.0,1
-0.17154811715481177,0.0111731843575419,0.4,0.4,0.0,1
-0.14644351464435146,0.0111731843575419,0.4,0.4,0.0,1
-0.12133891213389125,0.0111731843575419,0.4,0.4,0.0,1
-0.09623430962343094,0.0111731843575419,0.4,0.4,0.0,1
-0.07112970711297073,0.0111731843575419,0.4,0.4,0.0,1
-0.046025104602510525,0.0111731843575419,0.4,0.4,0.0,1
-0.02092050209205021,0.0111731843575419,0.4,0.4,0.0,1
0.004184100418409997,0.0111731843575419,1.0340958346946643,1.6615966209414559,0.6275007862467916,1
0.029288702928870203,0.0111731843575419,1.0191519563884492,1.6318642913103056,0.6127123349218564,1
0.05439330543933063,0.0111731843575419,1.0045602638034012,1.6028326701390714,0.5982724063356701,1
0.07949790794979084,0.0111731843575419,0.9903124568998888,1.5744852436748158,0.584172786774927,1
0.10460251046025104,0.0111731843575419,0.9764004312471695,1.546805887347908,0.5704054561007387,1
0.12970711297071125,0.0111731843575419,0.9628162734134325,1.5197788566000554,0.556962583186623,1
0.15481171548117145,0.0111731843575419,0.9495522564644838,1.4933887779284905,0.5438365214640067,1
0.17991631799163188,0.0111731843575419,0.9366008355685154,1.4676206401412233,0.5310198045727078,1
0.20502092050209209,0.0111731843575419,0.9239546437044566,1.4424597858183805,0.5185051421139238,1
0.2301255230125523,0.0111731843575419,0.9116064874714702,1.4178919029747812,0.506285415503311,1
0.2552301255230125,0.0111731843575419,0.8995493429972046,1.3939030169189988,0.4943536739217942,1
0.2803347280334727,0.0111731843575419,0.8877763519424776,1.3704794823042832,0.4827031303618055,1
0.30543933054393313,0.0111731843575419,0.8762808176001209,1.3476079753668229,0.47132715776670187,1
0.33054393305439334,0.0111731843575419,0.8650562010857605,1.3252754863469263,0.46021928526116584,1
0.35564853556485354,0.0111731843575419,0.8540961176183731,1.3034693120888183,0.44937319447044527,1
0.38075313807531375,0.0111731843575419,0.8433943328884966,1.2821770488148352,0.43878271592633844,1
0.40585774058577395,0.0111731843575419,0.8329447595120343,1.2613865850699142,0.4284418255578799,1
0.4309623430962344,0.0111731843575419,0.8227414535676311,1.241086094832363,0.4183446412647319,1
0.4560669456066946,0.0111731843575419,0.8127786112156559,1.221264030786986,0.40848541957133017,1
0.4811715481171548,0.0111731843575419,0.8030505653968634,1.2019091177567467,0.3988585523598833,1
0.506276150627615,0.0111731843575419,0.7935517826088607,1.1830103462892263,0.38945856368036563,1
0.5313807531380752,0.0111731843575419,0.7842768597585431,1.1645569663942332,0.3802801066356901,1
0.5564853556485356,0.0111731843575419,0.7752205210887089,1.1465384814289976,0.37131796034028874,1
0.5815899581589958,0.0111731843575419,0.7663776151771059,1.128944642127477,0.3625670269503711,1
0.606694560669456,0.0111731843575419,0.7577431120062021,1.1117654407703732,0.35402232876417106,1
0.6317991631799162,0.0111731843575419,0.7493121001020133,1.0949911054925463,0.3456790053905329,1
0.6569037656903765,0.0111731843575419,0.7410797837403603,1.0786120947245863,0.33753231098422604,1
0.6820083682008369,0.0111731843575419,0.7330414802189684,1.0626190917653835,0.3295776115464152,1
0.7071129707112971,0.0111731843575419,0.7251926171938541,1.0470029994826064,0.32181038228875225,1
0.7322175732217573,0.0111731843575419,0.7175287300784868,1.0317549351380741,0.3142262050595873,1
0.7573221757322175,0.0111731843575419,0.7100454595042451,1.0168662253350833,0.3068207658308383,1
0.7824267782426777,0.0111731843575419,0.7027385488407221,1.0023284010848097,0.2995898522440875,1
0.8075313807531381,0.0111731843575419,0.6956038417744718,0.9881331929889816,0.29252935121450985,1
0.8326359832635983,0.0111731843575419,0.6886372799448164,0.9742725265360863,0.28563524659127,1
0.8577405857740585,0.0111731843575419,0.6818349006353714,0.9607385175084284,0.27890361687305704,1
0.8828451882845187,0.0111731843575419,0.6751928345199755,0.947523467497434,0.2723306329774585,1
0.907949790794979,0.0111731843575419,0.6687073034617419,0.9346198595246449,0.265912556062903,1
0.9330543933054394,0.0111731843575419,0.6623746183639803,0.9220203537659146,0.2596457354019344,1
0.9581589958158996,0.0111731843575419,0.6561911770717679,0.909717783376375,0.2535266063046071,1
0.9832635983263598,0.0111731843575419,0.6501534623229713,0.8977051504137913,0.24755168809081995,1
1.00836820083682,0.0111731843575419,0.6442580397475606,0.8859756218579988,0.2417175821104382,1
1.0334728033472804,0.0111731843575419,0.6385015559140723,0.8745225257241469,0.23602096981007464,1
1.0585774058577404,0.0111731843575419,0.6328807364221116,0.8633393472675435,0.23045861084543182,1
1.0836820083682008,0.0111731843575419,0.6273923840398103,0.8524197252779409,0.22502734123813048,1
1.1087866108786613,0.0111731843575419,0.6220333768851783,0.8417574484611559,0.21972407157597754,1
1.1338912133891212,0.0111731843575419,0.6168006666503165,0.8313464519059643,0.21454578525564783,1
1.1589958158995817,0.0111731843575419,0.6116912768674792,0.82118081363426,0.20948953676678078,1
1.1841004184100417,0.0111731843575419,0.6067023012160019,0.8112547512325196,0.20455245001651765,1
1.209205020920502,0.0111731843575419,0.6018309018691288,0.8015626185626513,0.19973171669352255,1
1.2343096234309625,0.0111731843575419,0.5970743078798019,0.7920989025503629,0.195024594670561,1
1.2594142259414225,0.0111731843575419,0.5924298136044919,0.7828582200492161,0.19042840644472428,1
1.284518828451883,0.0111731843575419,0.5878947771641755,0.7738353147785885,0.18594053761441298,1
1.309623430962343,0.0111731843575419,0.583466618941583,0.7650250543337981,0.18155843539221503,1
1.3347280334728033,0.0111731843575419,0.5791428201138618,0.7564224272666916,0.17727960715282984,1
1.3598326359832638,0.0111731843575419,0.5749209212198203,0.7480225402350349,0.17310161901521465,1
1.3849372384937237,0.0111731843575419,0.570798520760939,0.7398206152190845,0.1690220944581455,1
1.4100418410041842,0.0111731843575419,0.5667732738353507,0.731811986803756,0.16503871296840528,1
1.4351464435146442,0.0111731843575419,0.5628428908040151,0.7239920995248459,0.1611492087208308,1
1.4602510460251046,0.0111731843575419,0.5590051359883266,0.7163565052777936,0.157351369289467,1
1.485355648535565,0.0111731843575419,0.5552578263984175,0.7089008607875135,0.15364303438909602,1
1.510460251046025,0.0111731843575419,0.5515988304914303,0.7016209251378551,0.15002209464642474,1
1.5355648535564854,0.0111731843575419,0.5480260669590546,0.6945125573592865,0.14648649040023187,1
