dataset,top_m,n_windows,positive_windows,mean_bicdiff_candidate_count,median_bicdiff_candidate_count,min_bicdiff_candidate_count,max_bicdiff_candidate_count,positive_rate
ret-1,1,5,5,8.321692614031832,8.676800165362998,5.1139731257441055,11.472771018392638,100.0
ret-1,2,5,3,1.8557614255567505,2.132475752421808,-1.874250715575508,5.920269993029864,60.0
ret-1,3,5,2,-2.564856446280765,-3.6920397410829295,-9.053452195479508,3.49193752489192,40.0
PVC-3 area17,1,5,5,21.390938987149497,19.800681764832497,17.83399337290531,28.12471790758393,100.0
PVC-3 area17,2,5,5,12.821624780659011,9.887099545251305,9.15169981072452,21.885940634378905,100.0
PVC-3 area17,3,5,4,6.486298199019558,7.232165561186434,-1.918967633252084,16.4831672542189,80.0
PVC-11 monkey2,1,5,5,14.478751390802923,12.020128402462204,7.579618010065102,26.32650565588114,100.0
PVC-11 monkey2,2,5,5,10.820777828597326,8.732395165884094,0.0475285846516104,19.91705127661738,100.0
PVC-11 monkey2,3,5,4,13.814346599859295,5.840365752204313,-4.019301025371853,36.65269732606937,80.0
