dataset,top_m,n_windows,positive_windows,positive_rate,mean_bicdiff_candidate_count,median_bicdiff_candidate_count,min_bicdiff_candidate_count,max_bicdiff_candidate_count
ret-1,1,5,5,1.0,8.321692614031832,8.676800165362998,5.1139731257441055,11.472771018392638
ret-1,2,5,3,0.6,1.8557614255567505,2.132475752421808,-1.8742507155755082,5.920269993029864
ret-1,3,5,2,0.4,-2.564856446280765,-3.6920397410829295,-9.053452195479508,3.49193752489192
PVC-3 area17,1,5,5,1.0,21.3909389871495,19.800681764832497,17.83399337290531,28.124717907583932
PVC-3 area17,2,5,5,1.0,12.821624780659011,9.887099545251305,9.151699810724521,21.885940634378905
PVC-3 area17,3,5,4,0.8,6.486298199019558,7.232165561186434,-1.918967633252084,16.4831672542189
PVC-11 monkey2,1,5,5,1.0,14.478751390802927,12.020128402462205,7.579618010065102,26.32650565588114
PVC-11 monkey2,2,5,5,1.0,10.820777828597326,8.732395165884094,0.04752858465161047,19.91705127661738
PVC-11 monkey2,3,5,4,0.8,13.814346599859295,5.840365752204313,-4.019301025371853,36.65269732606937
